indice_tiempo,cervezas_m
1993-01-01,98.6051
1993-02-01,98.098
1993-03-01,98.098
1993-04-01,98.576
1993-05-01,98.401
1993-06-01,98.7044
1993-07-01,98.7044
1993-08-01,99.7083
1993-09-01,100.4999
1993-10-01,101.7951
1993-11-01,102.7983
1993-12-01,106.0116
1994-01-01,104.3543
1994-02-01,106.8155
1994-03-01,107.2155
1994-04-01,107.8689
1994-05-01,107.8689
1994-06-01,108.5251
1994-07-01,108.5251
1994-08-01,109.0517
1994-09-01,108.858
1994-10-01,109.1067
1994-11-01,111.0078
1994-12-01,111.9554
1995-01-01,111.9554
1995-02-01,112.833
1995-03-01,113.2224
1995-04-01,115.9852
1995-05-01,113.0173
1995-06-01,113.4018
1995-07-01,116.24
1995-08-01,115.2709
1995-09-01,113.9032
1995-10-01,113.8977
1995-11-01,115.0788
1995-12-01,115.0788
1996-01-01,119.4317
1996-02-01,120.6492
1996-03-01,120.6492
1996-04-01,120.6492
1996-05-01,120.6492
1996-06-01,120.6492
1996-07-01,121.3813
1996-08-01,121.9415
1996-09-01,123.4009
1996-10-01,123.4009
1996-11-01,124.8534
1996-12-01,125.2059
1997-01-01,125.2059
1997-02-01,125.2059
1997-03-01,125.2059
1997-04-01,125.2059
1997-05-01,125.2059
1997-06-01,125.2059
1997-07-01,125.2059
1997-08-01,125.9861
1997-09-01,126.9846
1997-10-01,126.9846
1997-11-01,127.1601
1997-12-01,128.6719
1998-01-01,128.6719
1998-02-01,128.6719
1998-03-01,128.6719
1998-04-01,129.4563
1998-05-01,128.6719
1998-06-01,128.6719
1998-07-01,129.4563
1998-08-01,130.0505
1998-09-01,130.0505
1998-10-01,130.0505
1998-11-01,130.0505
1998-12-01,130.9105
1999-01-01,131.5187
1999-02-01,131.414
1999-03-01,131.414
1999-04-01,131.414
1999-05-01,131.414
1999-06-01,126.925
1999-07-01,124.0696
1999-08-01,124.0696
1999-09-01,124.0696
1999-10-01,124.0696
1999-11-01,121.913
1999-12-01,124.5435
2000-01-01,130.5071
2000-02-01,130.923
2000-03-01,130.923
2000-04-01,128.1974
2000-05-01,128.1974
2000-06-01,128.7899
2000-07-01,128.7075
2000-08-01,128.7075
2000-09-01,128.7075
2000-10-01,128.7075
2000-11-01,128.7075
2000-12-01,128.7075
2001-01-01,128.7075
2001-02-01,128.7075
2001-03-01,128.7075
2001-04-01,128.7075
2001-05-01,128.7075
2001-06-01,128.7075
2001-07-01,128.7075
2001-08-01,128.7075
2001-09-01,128.7075
2001-10-01,128.7075
2001-11-01,128.7075
2001-12-01,128.7075
2002-01-01,129.9842
2002-02-01,128.9362
2002-03-01,126.2033
2002-04-01,126.2033
2002-05-01,136.8031
2002-06-01,182.2238
2002-07-01,182.2238
2002-08-01,184.262
2002-09-01,183.8017
2002-10-01,183.8017
2002-11-01,183.0764
2002-12-01,180.9927
2003-01-01,182.1063
2003-02-01,183.8275
2003-03-01,241.7157
2003-04-01,246.3917
2003-05-01,246.5157
2003-06-01,247.1408
2003-07-01,247.1408
2003-08-01,247.1408
2003-09-01,315.4069
2003-10-01,322.0898
2003-11-01,322.0898
2003-12-01,322.0898
2004-01-01,322.08975544482
2004-02-01,333.28909962754
2004-03-01,333.28909962754
2004-04-01,333.28909962754
2004-05-01,333.28909962754
2004-06-01,333.28909962754
2004-07-01,333.28909962754
2004-08-01,333.28909962754
2004-09-01,330.73017545707
2004-10-01,330.73017545707
2004-11-01,330.73017545707
2004-12-01,352.34302325638
2005-01-01,352.34302325638
2005-02-01,351.26134751513
2005-03-01,351.26134751513
2005-04-01,354.13430657822
2005-05-01,354.13430657822
2005-06-01,354.13430657822
2005-07-01,353.71333419198
2005-08-01,366.34691618622
2005-09-01,367.80587552381
2005-10-01,367.80587552381
2005-11-01,389.11774572187
2005-12-01,389.11774572187
2006-01-01,396.24949915607
2006-02-01,394.7694759268
2006-03-01,394.7694759268
2006-04-01,394.7694759268
2006-05-01,396.24949915607
2006-06-01,396.24949915607
2006-07-01,396.24949915607
2006-08-01,396.24949915607
2006-09-01,396.24949915607
2006-10-01,396.24949915607
2006-11-01,396.24949915607
2006-12-01,396.3226737404
2007-01-01,420.63194490222
2007-02-01,426.65263668473
2007-03-01,426.65263668473
2007-04-01,426.79360126166
2007-05-01,426.79360126166
2007-06-01,426.93267074494
2007-07-01,426.93
2007-08-01,445.13
2007-09-01,445.13
2007-10-01,445.13
2007-11-01,445.13
2007-12-01,445.13
2008-01-01,456.2
2008-02-01,456.2
2008-03-01,456.2
2008-04-01,456.2
2008-05-01,464.75
2008-06-01,468.75
2008-07-01,469.89
2008-08-01,473.54
2008-09-01,475.55
2008-10-01,475.55
2008-11-01,475.55
2008-12-01,478.82
2009-01-01,478.91
2009-02-01,478.91
2009-03-01,478.82
2009-04-01,485.56
2009-05-01,487.5
2009-06-01,487.5
2009-07-01,487.5
2009-08-01,490.01
2009-09-01,493.94
2009-10-01,493.94
2009-11-01,497.74
2009-12-01,497.74
2010-01-01,507.75
2010-02-01,517.23
2010-03-01,548.53
2010-04-01,548.53
2010-05-01,556.36
2010-06-01,560.94
2010-07-01,560.94
2010-08-01,556.99
2010-09-01,561.11
2010-10-01,567.19
2010-11-01,567.19
2010-12-01,556.5
2011-01-01,556.5
2011-02-01,566.01
2011-03-01,566.01
2011-04-01,566.01
2011-05-01,566.01
2011-06-01,566.01
2011-07-01,571.31
2011-08-01,583.71
2011-09-01,583.71
2011-10-01,583.71
2011-11-01,594.9
2011-12-01,594.9
2012-01-01,594.9
2012-02-01,594.9
2012-03-01,594.9
2012-04-01,599.33
2012-05-01,624.15
2012-06-01,623.49
2012-07-01,624.15
2012-08-01,628.27
2012-09-01,641.26
2012-10-01,641.26
2012-11-01,646.54
2012-12-01,648.85
2013-01-01,648.85
2013-02-01,648.85
2013-03-01,648.85
2013-04-01,648.85
2013-05-01,648.85
2013-06-01,662.14
2013-07-01,662.14
2013-08-01,662.14
2013-09-01,662.14
2013-10-01,652.56
2013-11-01,652.56
2013-12-01,663.14
2014-01-01,657.72
2014-02-01,657.72
2014-03-01,657.72
2014-04-01,703.13
2014-05-01,711.24
2014-06-01,711.07
2014-07-01,710.75
2014-08-01,744.77
2014-09-01,762.91
2014-10-01,762.91
2014-11-01,762.91
2014-12-01,781.27
2015-01-01,781.27
2015-02-01,764.67
2015-03-01,779.72
2015-04-01,779.72
2015-05-01,817.19
2015-06-01,817.19
2015-07-01,816.58
2015-08-01,834.89
2015-09-01,849.41
2015-10-01,856.65